/Users/mac/workspace/magic-tao/monster_scraper_v2.py:28: SyntaxWarning: invalid escape sequence '\s'
  const rankMatch = bodyText.match(/总档位[：:]\s*(\d+)/);
需要补采: 364 个魔物
[1/364] 采集: 钢铁骑士 ✗
[2/364] 采集: 火蜘蛛 ✗
[3/364] 采集: 改造风龙蜥 ✗
[4/364] 采集: 岩虫 ✗
[5/364] 采集: 多拉姆糖（怀旧） ✗
[6/364] 采集: 死灰螳螂 ✗
[7/364] 采集: 刀锋阿姆鸟 ✗
[8/364] 采集: 天狼星（时道） ✗
[9/364] 采集: 幼生火焰独角兽（怀旧） ✗
[10/364] 采集: 毒角狮（时道） ✗
[11/364] 采集: 地狱恶犬（道具） ✗
[12/364] 采集: 鲁帕斯（时道） ✗
[13/364] 采集: 罗刹 ✗
[14/364] 采集: 魔化水鼠（怀旧） ✗
[15/364] 采集: 山飞甲（时怀） ✗
[16/364] 采集: 赤目黑熊 ✗
[17/364] 采集: 改造大地鼠 ✗
[18/364] 采集: 剑鸵鸟（时道） ✗
[19/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[20/364] 采集: 冥界处刑者（倍率21;暂不支持百科算档/模拟） ✗
[21/364] 采集: 红木蝎 ✓
[22/364] 采集: 仇恨之灵 ✗
[23/364] 采集: 沙地鲨 ✗
[24/364] 采集: 走路花妖 ✗
[25/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[26/364] 采集: 土蜘蛛 ✗
[27/364] 采集: 艾克尼奇美拉（时道） ✓
[28/364] 采集: 改造盗贼 ✗
[29/364] 采集: 金牛神使（道具） ✗
[30/364] 采集: 围巾兔（道具） ✗
[31/364] 采集: 招财猫（道具） ✗
[32/364] 采集: 芙蕾雅番茄妖精（道具） ✗
[33/364] 采集: 牧羊神使（道具） ✗
[34/364] 采集: 堕天使 ✗
[35/364] 采集: 希特拉 ✗
[36/364] 采集: 灵魂容器(地) ✗
[37/364] 采集: 蓝星缩影 ✗
[38/364] 采集: 改造丸子炸弹 ✗
[39/364] 采集: 改造暗影（道具） ✗
[40/364] 采集: 大地牛头怪（道具） ✗
[41/364] 采集: 寒冰牛头怪（道具） ✗
[42/364] 采集: 烈风牛头怪（道具） ✗
[43/364] 采集: 火焰牛头怪（道具） ✗
[44/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[45/364] 采集: 阴影 ✗
[46/364] 采集: 丘比特 ✗
[47/364] 采集: 黑暗大公鸡（道具） ✗
[48/364] 采集: 胖蝙蝠 ✗
[49/364] 采集: 地狱将军 ✗
[50/364] 采集: 大地牛头怪（怀旧） ✗

进度保存: 2 成功, 48 失败
[51/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[52/364] 采集: 围巾兔（怀旧） ✗
[53/364] 采集: 红魔吓人箱 ✗
[54/364] 采集: 绿蛙吓人箱 ✗
[55/364] 采集: 兔耳吓人箱 ✗
[56/364] 采集: 吓人箱 ✗
[57/364] 采集: 纯白吓人箱 ✗
[58/364] 采集: 改造锹型虫 ✗
[59/364] 采集: 锹型虫 ✗
[60/364] 采集: 朗格多克蝎 ✗
[61/364] 采集: 改造黄蝎 ✗
[62/364] 采集: 黄金幼龙（怀旧·奖） ✗
[63/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[64/364] 采集: 金属蜥蜴 ✗
[65/364] 采集: 贝拉多娜草 ✗
[66/364] 采集: 测试功能 ✗
[67/364] 采集: 绳状熔岩 ✗
[68/364] 采集: 谢蕾简克隆体 ✗
[69/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[70/364] 采集: 绿帽哥布林 ✗
[71/364] 采集: 星菇 ✗
[72/364] 采集: 水蓝菇 ✗
[73/364] 采集: 翠绿菇 ✗
[74/364] 采集: 穴龙 ✗
[75/364] 采集: 改造鬼灵 ✗
[76/364] 采集: 岩怪 ✗
[77/364] 采集: 影岩 ✗
[78/364] 采集: 单眼巨人 ✗
[79/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[80/364] 采集: 拳击企鹅 ✗
[81/364] 采集: 棉球 ✗
[82/364] 采集: 虚弱的雏鸟 ✗
[83/364] 采集: 大刀鸸苗 ✗
[84/364] 采集: 天使之翼（道具） ✗
[85/364] 采集: 蓝魔卡尔德（道具） ✗
[86/364] 采集: 火焰鼠 ✗
[87/364] 采集: 改造兔耳蝙蝠 ✗
[88/364] 采集: 无之纹章红魔乔卡（道） ✗
[89/364] 采集: 闪光飞鹰 ✗
[90/364] 采集: 改造水蓝鸟魔 ✗
[91/364] 采集: 曼德拉草 ✗
[92/364] 采集: 改造水果蝙蝠 ✗
[93/364] 采集: 变异果冻史莱姆 ✗
[94/364] 采集: 山贼 ✗
[95/364] 采集: 水精 ✗
[96/364] 采集: 火精 ✗
[97/364] 采集: 风精 ✓
[98/364] 采集: 血腥骑士 ✗
[99/364] 采集: 改造水晶螃蟹 ✗
[100/364] 采集: 火柴小精灵 ✗

进度保存: 3 成功, 97 失败
[101/364] 采集: 改造猎豹蜥蜴 ✗
[102/364] 采集: 疾风之刃 ✗
[103/364] 采集: 陆行鲨 ✗
[104/364] 采集: 木乃伊 ✗
[105/364] 采集: 雪儿波波 ✗
[106/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[107/364] 采集: 黑暗龙 ✗
[108/364] 采集: 妖花 ✗
[109/364] 采集: 黄蜂 ✗
[110/364] 采集: 红蝎 ✗
[111/364] 采集: 血魔 ✗
[112/364] 采集: 小恶魔 ✗
[113/364] 采集: 小蝙蝠 ✗
[114/364] 采集: 托罗帝鸟 ✗
[115/364] 采集: 天使蝙蝠 ✗
[116/364] 采集: 水蓝鸟魔 ✗
[117/364] 采集: 水果蝙蝠 ✗
[118/364] 采集: 使魔（英普） ✗
[119/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[120/364] 采集: 狮鹫兽 ✗
[121/364] 采集: 扫把蝙蝠 ✗
[122/364] 采集: 强化丘比特 ✗
[123/364] 采集: 迷你蝙蝠 ✗
[124/364] 采集: 狂奔鸟 ✗
[125/364] 采集: 巨蝙蝠 ✗
[126/364] 采集: 海蝙蝠 ✗
[127/364] 采集: 改造扫把蝙蝠 ✗
[128/364] 采集: 恶魔蝙蝠 ✗
[129/364] 采集: 恶魔 ✗
[130/364] 采集: 黑暗大公鸡 ✗
[131/364] 采集: 大公鸡（时长） ✗
[132/364] 采集: 沼泽树精 ✗
[133/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
